"n","name of product","unit","Vegetables-fruits (Aliev), RUB.","EuroSmak (Aliev), RUB.","Avangard (Kuliev), RUB.","Foodstuff (Ahmedov), RUB.","Amikan, New century, Flamingo (Guluev), RUB.","trading network Kristall (Alexievich), RUB.","trading network Sterh (Ivanyuk), RUB.","Yubileiny, Aishan (Radyukin), RUB.","Angalski Mys (Arutyunova), RUB.","Argo (Karamyan), RUB.","Mys (Tsvetnov), RUB.","Perekrestok (Shmeleva), RUB.","Price average, RUB."
1,"Мясо говядина (кроме бескостного мяса)","кг",,449.9,,,360,480,380,,,415,,,416.98
2,"Мясо свинина (кроме бескостного мяса)","кг",,389.9,,,,300,358,340,,375,,,352.58
3,"Куры (тушка 1 кат. отечествен. пр-ва)","кг",177,229,211,205,190,178,189,200,220,179,185,180,195.33
4,"Рыба мороженная неразделанная (кроме дорогостоящих видов)","кг",,159,153.33,,,130,162,,,168,150,,153.72
5,"Масло сливочное (отеч. пр-ва, б/наполн. )","кг",456,499.44,585.95,265,320,380,288,483,550,420,335,545,427.28
6,"Масло подсолнечное (отеч. пр-ва, б/наполн. )","литр",102.57,125.33,107.11,120,117.5,117.78,126.7,128.28,110,103.78,99.36,123.39,115.15
7,"Молоко  питьевое (жирностью 2,5%, 3,2 %)","литр",66,72,73.8,63,70,61,72.33,84,83.67,73,65,67.3,70.93000000000001
8,"Творог (без наполнителей)","кг",300,359,328.2,305,330,356,332,345,320,390,320,339,335.43
9,"Кефир (без наполнителей)","литр",86,85,87,81,92,92,86,92,84,89,88,84,87.17
10,"Сыр твердых сортов(отеч. пр-ва)","кг",399,497,502.5,438,500,402,455,540,580,433,430,470,470.54
11,"Яйцо куриное","десяток",65,77.5,65,67.5,75,70,72.33,72.67,74,67.5,75,87,72.38
12,"Сахар-песок","кг",64,59,77.78,55,70,51,48,59,60,55,60,55,59.48
13,"Соль","кг",15,24,25,25,35,16.3,21,25,30,30,25,21,24.36
14,"Чай черный байховый","кг",420,520,696.5,400,432,370,600,600,800,700,620,600,563.21
15,"Мука","кг",42.5,49,58,43,60,39,45,49,55,45.25,55,42.5,48.6
16,"Хлеб ржано-пшеничный","кг",46.67,53.33,60.56,60,58.33,36.67,45,60,61.67,60,60,52,54.52
17,"Рис шлифованный","кг",81.92,85,78.56,73.78,83.33,86.25,86.11,85,79.86,90.37,76.95,100,83.93000000000001
18,"Пшено","кг",44,48.33,68.75,48,38.89,54,46.67,66.78,55.56,50,72.22,65.56,54.9
19,"Крупа гречневая - ядрица","кг",65.56,95,95,75,104.86,86.07,95.56,77.5,87.5,66.67,66.67,85.70999999999999,83.43000000000001
20,"Вермишель","кг",56,72.11,60,61.67,66.67,52,61.25,90,60,88.89,71.75,65,67.11
21,"Картофель","кг",30,21,36,30,40,34,30,40,35,35,28,37,33
22,"Капуста белокочанная свежая","кг",45,35,44,35,40,44,35,45,40,38,35,48,40.33
23,"Лук репчатый","кг",39,19.5,38,30,45,38,32,45,35,35,32,39,35.63
24,"Морковь","кг",45,30,40,35,50,42,32,50,40,54,35,49,41.83
25,"Яблоки","кг",115,119,105,85,100,125,115,118,130,110,110,125,113.08